zip,state,latitude,longitude,county
85193,AZ,32.86,-111.83,pinal
85194,AZ,32.909999999999997,-111.65,pinal
85201,AZ,33.44,-111.85,maricopa
85202,AZ,33.380000000000003,-111.87,maricopa
85203,AZ,33.44,-111.8,maricopa
85204,AZ,33.39,-111.78,maricopa
85205,AZ,33.43,-111.71,maricopa
85206,AZ,33.39,-111.71,maricopa
85207,AZ,33.450000000000003,-111.64,maricopa
85208,AZ,33.380000000000003,-111.63,maricopa
85209,AZ,33.369999999999997,-111.64,maricopa
85210,AZ,33.380000000000003,-111.84,maricopa
85211,AZ,33.44,-111.84,maricopa
85212,AZ,33.33,-111.63,maricopa
85213,AZ,33.44,-111.76,maricopa
85214,AZ,33.39,-111.78,maricopa
85215,AZ,33.590000000000003,-111.44,maricopa
85216,AZ,33.39,-111.72,maricopa
85217,AZ,33.32,-111.32,pinal
85218,AZ,33.35,-111.41,pinal
85219,AZ,33.4,-111.46,pinal
85220,AZ,33.409999999999997,-111.57,pinal
85221,AZ,33.119999999999997,-111.9,pinal
85222,AZ,32.869999999999997,-111.73,pinal
85223,AZ,32.74,-111.68,pinal
85224,AZ,33.32,-111.87,maricopa
85225,AZ,33.32,-111.82,maricopa
85226,AZ,33.270000000000003,-111.94,maricopa
85227,AZ,33.340000000000003,-111.63,maricopa
85228,AZ,32.96,-111.52,pinal
85230,AZ,32.869999999999997,-111.75,pinal
85231,AZ,32.71,-111.57,pinal
85232,AZ,32.96,-111.31,pinal
85233,AZ,33.340000000000003,-111.81,maricopa
85234,AZ,33.36,-111.75,maricopa
85235,AZ,32.99,-110.78,gila
85236,AZ,33.33,-111.71,maricopa
85237,AZ,33.090000000000003,-110.97,pinal
85238,AZ,33,-111.93,pinal
85239,AZ,33.020000000000003,-112.04,pinal
85240,AZ,33.22,-111.53,maricopa
85241,AZ,32.71,-111.49,pinal
85242,AZ,33.22,-111.61,maricopa
85243,AZ,33.15,-111.54,maricopa
85244,AZ,33.229999999999997,-111.76,maricopa
85245,AZ,32.619999999999997,-111.37,pinal
