geo_id,total,tot_under_19,y_under_19,n_under_19,tot_19_64,y_19_64,n_19_64,tot_65_over,y_65_over,n_65_over
0500000US26027,51258,11525,0.7976623486620146,0.07001661012323487,29404,0.3124699223410924,0.02761986136180518,10329,0.9681479330041631,0
0500000US26029,25883,5408,1.8258617520394944,0.023250673996008546,14511,0.6419744707012383,0.047157911629407426,5964,1.676727028839705,0
0500000US26031,25045,4341,2.291942048624726,0.011674629560024073,14103,0.6294288247903189,0.0796401676226428,6601,1.511708997463831,0.003212984054120789
0500000US26033,34727,7092,1.3955255383360545,0.014513942769416154,21294,0.42191325759828263,0.047702596632956215,6341,1.5330175393471808,0.04402078268404462
0500000US26035,30313,6648,1.293332522398456,0.21087927062200157,16787,0.5094687139812015,0.08623033885730444,6878,1.4448214344449322,0.009089586200604547
0500000US26037,77960,18477,0.5303170760964934,0.010896324347301603,46791,0.2020053295196671,0.011710983446501604,12692,0.787897888433659,0
0500000US26041,35603,7564,1.3016023184216698,0.020449506009847643,19830,0.4628601814363084,0.041426253258598236,8209,1.2181751735899622,0
0500000US26043,25111,5335,1.8160913280672892,0.058322917480976975,14365,0.6230578659480607,0.07307857679471692,5411,1.836474779927853,0.011612449789389436
0500000US26045,108405,24728,0.3962719696018989,0.008127900990142533,64724,0.1421203436141015,0.012381850317052327,18953,0.5268693206436016,7.516364608146064e-4
0500000US26047,32884,6878,1.3725275162912867,0.08138350435425001,19076,0.45801827619057717,0.06620063762783346,6930,1.443001443001443,0
0500000US26049,405144,96850,0.09988995111633386,0.0033625011294069864,240508,0.03771517013864109,0.003863488367520862,67786,0.14752308736317232,0
0500000US26051,25073,5168,1.7904597475294504,0.14452477259438892,13083,0.6705230299889365,0.09382765410492569,6822,1.465845793022574,0
0500000US26055,90819,19403,0.48255347654466185,0.03283074239055441,54216,0.168059556134378,0.016387839468396097,17200,0.572133585722012,0.009261763115197405
0500000US26057,36613,9080,1.066874963612723,0.03444662229036077,21130,0.44353918422207284,0.029721582460369173,6403,1.5503040617990809,0.011463859487815736
0500000US26059,45459,10968,0.8647761726840391,0.046967080415887937,26035,0.34591717012107437,0.03818115905119378,8456,1.1790959311666422,0.003496311028248851
0500000US26061,35884,8951,1.0665198742577435,0.050673735394809113,21299,0.412434854884135,0.05707075570791158,5634,1.774937877174299,0
0500000US26063,30927,6354,1.4625997032297273,0.11121206888232812,17191,0.5398427920536563,0.041856934547472274,7382,1.3546464372798699,0
0500000US26065,288469,65260,0.14999292300141007,0.0032402979608945814,185138,0.05077185163933245,0.0032419110674052273,38071,0.2613907326426434,0.0012763893137013415
0500000US26067,60536,15608,0.6216912642677426,0.01900581415357972,35857,0.2609190486040139,0.017966524645281905,9071,1.1024142872891634,0
0500000US26069,24873,4602,2.123389467874916,0.04957880678827356,13071,0.673218022710204,0.09183438337961311,7200,1.3888888888888888,0
0500000US26073,70529,15455,0.5942048386477223,0.05283495429954383,46398,0.20028108806890108,0.015245443247103934,8676,1.1480879937575472,0.0045168932871738725
0500000US26075,150727,36192,0.2635241722894929,0.012779983325007562,87992,0.10409692172050355,0.009549773433601371,26543,0.3750580977043917,0.001689067273191894
0500000US26077,261037,61680,0.15744834222403906,0.004678765428360427,161919,0.05779249836726752,0.003966776331810415,37438,0.2661165646746043,9.91721024418081e-4
0500000US26081,644164,167784,0.057518487037013434,0.0020819516222151005,392911,0.023616999245673204,0.00183405710042044,83469,0.11865526397847294,0.001149693550669628
0500000US26087,86587,19197,0.49958644710945366,0.021328279149857726,52123,0.17747671332763204,0.014377170754251213,15267,0.6536775244966146,0.0013300080900101765
0500000US26089,21489,4059,2.360477366336072,0.10318363391029373,11080,0.8239225064838587,0.07860456932841559,6350,1.574803149606299,0
0500000US26091,95123,21921,0.4492745337956785,0.0069090344721925625,56159,0.16492628292484557,0.013139565826022494,17043,0.5854429065284472,0.0013082523050915022
0500000US26093,188687,44020,0.2242743736532133,0.002895094770230623,114114,0.08378740449993297,0.0038442620791020315,30553,0.32730010146303146,0
0500000US26099,864509,194568,0.049921405440004285,0.0014745075569941896,528104,0.017548577232727063,0.0013870869546299723,141837,0.07004764851463331,4.5581673068349944e-4
0500000US26101,23204,4540,2.1182246890100718,0.0844184827960954,12750,0.7032987312572088,0.08101499423298732,5914,1.6909029421711192,0
0500000US26103,64919,13216,0.7339290660964184,0.02272952954522803,40175,0.23334749301922322,0.015563521293160097,11528,0.8674531575294934,0
0500000US26105,28775,6222,1.5924766289524803,0.014723628199560647,16130,0.5884073489998536,0.031555453232012524,6423,1.5542385250499402,0.002666348062312748
0500000US26107,43147,9639,1.0089298905769575,0.028522127267217166,25678,0.3665525901337941,0.022885839650457002,7830,1.277139208173691,0
0500000US26109,22751,4516,2.1143208166064014,0.1000281647930672,13102,0.71005646641183,0.053185786679301066,5133,1.948178453146308,0
0500000US26111,82784,18814,0.5207271027348581,0.010791978800169043,49358,0.19385011165226249,0.008751290349439368,14612,0.6820740431442112,0.0022949686269358198
0500000US26115,148584,33920,0.28849269368547525,0.006318627069241723,88778,0.10509122656139251,0.0075492924861192525,25886,0.3842945320924631,0.002014669792725817
0500000US26117,61115,14760,0.6299068749495084,0.047599900118242375,35766,0.24927166660461256,0.03032347962364889,10589,0.9426817311785454,0.0016945083152689084
0500000US26121,168529,42710,0.23375346278838388,3.8374161339556454e-4,98551,0.09508973548395379,0.006380569231371262,27268,0.3647263163872369,0.0020039168531914265
0500000US26123,47693,11611,0.8232743814035794,0.03797787938360507,27226,0.3375221406241001,0.029773826466181263,8856,1.122930248423231,0.0062477100230201345
0500000US26125,1244628,278972,0.03503664373598749,8.092476079466661e-4,763925,0.01238593267422356,7.043576029633372e-4,201731,0.049412714454529695,1.5824885800035373e-4
0500000US26127,26267,6444,1.518839095433667,0.032992065336041286,14353,0.6226924234996412,0.07402603257226013,5470,1.7887162485085675,0.039437316390883964
0500000US26129,20671,4040,2.450127438486423,0.02512008626605235,11513,0.8012121147285352,0.06737122584299265,5118,1.9451075753293017,0.008780662263508134
0500000US26133,22991,5466,1.6005539483075295,0.22893745308288382,12660,0.672404283621462,0.1174851318603705,4865,2.044090758812712,0.01140769956344424
0500000US26137,24366,5514,1.74449605574178,0.0690694139716768,13933,0.6726987917780578,0.045021727851598324,4919,2.0329335230737953,0
0500000US26139,285163,75980,0.12794648652015697,0.0036670960015592695,168298,0.05658408884137844,0.0028343237363111385,40885,0.2439603328754391,6.28147007158438e-4
0500000US26143,23656,4220,2.2646616203589316,0.1050066260865659,12031,0.7391621736662736,0.09202392890209143,7405,1.350438892640108,0
0500000US26145,188554,43539,0.2265614651070964,0.003117673136776893,109919,0.08346999070973872,0.007506091678201492,35096,0.28442939848233656,5.033573872782116e-4
0500000US26147,158050,35111,0.28095795510682053,0.0038530727761791122,94177,0.09832898643036751,0.007854051891091032,28762,0.3471249104886512,5.560574551636005e-4
0500000US26149,60383,15422,0.5559244246182206,0.0924999042625991,34561,0.255704924590945,0.033638555053741186,10400,0.9515532544378696,0.009985207100591717
0500000US26151,40901,9343,0.9367448196562309,0.13357520603144982,23044,0.39617650615091604,0.03777593266178999,8514,1.165707034563255,0.008829023693733527
0500000US26155,68063,15938,0.6106609529293311,0.016770343343727113,40181,0.2333025845931979,0.015571261254341984,11944,0.8372404554588079,0
0500000US26157,52061,11163,0.8880324102779712,0.007784126495297597,30928,0.3001752614553395,0.02315634744274639,9970,1.0030090270812437,0
0500000US26159,74812,18766,0.5189929851639394,0.013885625088645093,43652,0.2022254451035891,0.026859132922618177,12394,0.8039125471264355,0.002929473205983448
0500000US26161,363913,80562,0.12279831105625999,0.0013296897381592286,234842,0.0409773101329634,0.0016045108360285192,48509,0.20550986215072528,6.374507190514444e-4
0500000US26163,1740540,435455,0.022383431811797222,5.810536114956561e-4,1047085,0.008726945890654736,8.233771490220804e-4,258000,0.0384532179556517,3.064719668289165e-4
0500000US26165,33133,8085,1.1940234574742923,0.04283492224123022,18871,0.4783571928456601,0.05155643123361502,6177,1.6189088554314395,0
0500000US27003,348825,88841,0.10862537168430599,0.003935270361596249,213539,0.044067725334817585,0.0027621277599332522,46445,0.21395478390864672,0.001353645416361338
0500000US27005,33701,9062,1.0043857365340345,0.09912342259198641,18075,0.5137346502681122,0.03951569551335395,6564,1.5234613040828764,0
0500000US27007,46004,12564,0.682782409396586,0.11314245529618693,26972,0.3319226430850376,0.03883221380358766,6468,1.5460729746444033,0
0500000US27009,39379,9993,0.9857796084197796,0.0149208819234607,24368,0.39078852323036267,0.0195857380959669,5018,1.9928258270227182,0
0500000US27013,66340,14791,0.6405706543832391,0.03551615516310666,43172,0.22433477731417878,0.007296835768374705,8377,1.193744777366599,0
0500000US27015,24867,5962,1.6156782286922622,0.06161127147546673,13636,0.6947921661992339,0.038560723211150304,5269,1.8978933383943821,0
0500000US27017,33865,8533,1.1612082713352723,0.010712506820124335,19706,0.47799990624382827,0.029459750713443568,5626,1.7724067919386517,0.005054992632980111
0500000US27019,101847,29197,0.32393126036948233,0.018569681508107862,61408,0.15841663077678822,0.004428601114821995,11242,0.889521437466643,0
0500000US27021,29089,6623,1.4250824403694418,0.08480733767676088,15143,0.6106132564417072,0.04975787213255163,7323,1.3571691621852393,0.008391400425712528
0500000US27025,53910,13516,0.7361962948388375,0.003667570209993465,32550,0.2913537249794125,0.015865937078959228,7844,1.2748597654258031,0
0500000US27027,63087,17260,0.5389926272441522,0.04038164853800305,38119,0.24545473097549328,0.016881636715159673,7708,1.2973533990659056,0
0500000US27035,63684,15395,0.6400681164118085,0.009493429544670858,34754,0.27118646515083455,0.016550198254816618,13535,0.7388252678241596,0
0500000US27037,419779,108907,0.0898999962105973,0.001921466138012072,254584,0.03767530446224098,0.0016044617445905517,56288,0.1770012646727736,6.564954181871774e-4
0500000US27039,20668,6002,1.5881077517091102,0.07800354452547806,11772,0.805455425655122,0.04401790088242469,2894,3.455425017277125,0
0500000US27041,37130,8227,1.169413019229538,0.0460968871761991,20786,0.4688724561285315,0.012220587266061046,8117,1.2275806966213862,0.00440156283407767
0500000US27045,20589,5442,1.7173518448059595,0.12020787588496297,11171,0.7994952145719906,0.09567979214182187,3976,2.504336886510208,0.010753656749349215
0500000US27047,30076,6780,1.4557826680937338,0.01914358559358168,16754,0.5385531753447199,0.058319213338579534,6542,1.5262479600569787,0.00233657066757039
0500000US27049,45467,10684,0.8808750643551291,0.055103969714507824,26511,0.3480769370286976,0.029124979157036626,8272,1.2074360523627983,0.0014614331304318548
0500000US27053,1243410,290297,0.03333679504257565,0.0011106846075757486,787563,0.011914090645814895,7.833062608452709e-4,165550,0.060029987080762154,3.7472448674010764e-4
0500000US27057,20877,4739,2.077199601872303,0.032950218764962576,10927,0.8426345511539683,0.07252972083285326,5211,1.9190174630589136,0
0500000US27059,39280,9960,0.9701456428122127,0.033870421444815405,23480,0.4010626318676376,0.024831746326570293,5840,1.7123287671232876,0
0500000US27061,44378,9594,1.0097253038725607,0.03259281161628665,25003,0.37048707776632217,0.029464927992986722,9781,1.022390348635109,0
0500000US27067,41939,10674,0.8680443100371305,0.06881160152367141,23971,0.39694829547532146,0.0202224525118297,7294,1.3683583962208046,0.0026314584542707783
0500000US27079,27957,7138,1.3560075432409198,0.04494510455958469,16108,0.5961051084962942,0.02470442713817318,4711,2.1226915729144555,0
0500000US27083,25547,6723,1.4431821744368076,0.04424903186990059,14928,0.630886418438372,0.03899568231189596,3896,2.5344532801504416,0.03228183278590372
0500000US27085,35666,8880,1.0561236912588263,0.07000243486729975,20337,0.4632083628940565,0.028506245946972153,6449,1.5443764416013512,0.006251562740407152
0500000US27091,19654,4369,2.233845366245601,0.055007918258862136,10886,0.7833425014418802,0.1352685586352832,4399,2.2732439190725167,0
0500000US27093,22834,5930,1.5865251998441627,0.09981544096528071,12578,0.764129905396053,0.030909051512835628,4326,2.311604253351826,0
0500000US27095,25409,6428,1.4620327448867334,0.09366109456566228,14635,0.6273600558587162,0.055933418688601785,4346,2.300966405890474,0
0500000US27097,32758,7884,1.231549759694155,0.03684191965642866,18609,0.5023175609690863,0.03505682776754647,6265,1.5941309890580246,0.002038204876532555
0500000US27099,39101,10205,0.9195135201183193,0.06039828781896645,21659,0.42373650840319826,0.037965324553078585,7237,1.3817880337156279,0
0500000US27103,33731,8335,1.1394481751520122,0.06031187283838973,20273,0.4690330074929051,0.024233899230322847,5123,1.9519812609798946,0
0500000US27105,21646,6096,1.6299251348502697,0.010494812656291978,12376,0.7374382053552364,0.0705773085426304,3174,3.1029525099371904,0.047646103799419436
0500000US27109,153249,39521,0.25009132395659806,0.0029387107085166787,91386,0.10419808609558952,0.00522786536305842,22342,0.44758750335690634,0
0500000US27111,57699,13077,0.6942952920036825,0.07040609210582277,31514,0.29104886657002504,0.026270420096218487,13108,0.7617288787155351,0.0011640111227315634
0500000US27115,27703,6251,1.5385796151355184,0.06116442581792896,15733,0.5868847858629438,0.04872190071939907,5719,1.7485574401119075,0
0500000US27119,31084,8053,1.1756214174598811,0.06615183474426664,17503,0.5371545924356015,0.034176036599421165,5528,1.808972503617945,0
0500000US27123,543833,136158,0.07139219651426304,0.002051890502291254,333054,0.027920855746978515,0.0021043053380107083,74621,0.13367829500211517,3.3223822579654075e-4
0500000US27131,63403,15283,0.6444318304815134,0.00988996497749333,38138,0.25070349538987863,0.011502178740909556,9982,1.0018032458425166,0
0500000US27137,196917,42197,0.22895822766931437,0.008025444155696875,118833,0.07934407150903097,0.0048076371914141875,35887,0.27812443598786585,5.280008276940975e-4
0500000US27139,144151,42445,0.23131387828734204,0.004285132196813957,87712,0.10953551795195608,0.00447396763724496,13994,0.7145919679862799,0
0500000US27141,92626,26141,0.3755312703968397,0.007009565837428345,56357,0.17057965650751317,0.006860590489310628,10128,0.9873617693522907,0
0500000US27145,156729,39393,0.24577775707161392,0.008074450173328062,95027,0.1006186983630323,0.00461455113447893,22309,0.4482495853691335,0
0500000US27147,36540,9681,1.0270827070780284,0.0058684343329827105,20649,0.46040960422173954,0.02387534904476241,6210,1.610305958132045,0
0500000US27153,24315,5990,1.3609215135966735,0.30852756820633165,13343,0.6603733615170521,0.08908328241609634,4982,2.0072260136491367,0
0500000US27157,21452,5092,1.9584654146886604,0.005399471407176298,11912,0.7621088339337366,0.07738075639534332,4448,2.2482014388489207,0
0500000US27163,253353,66579,0.14470432214089912,0.0054931875843896435,150198,0.06407739070675528,0.0025013919667823317,36576,0.2730071528815897,3.9617170283723287e-4
0500000US27169,50532,10491,0.8771492985790318,0.07604868064125228,32031,0.2849456971718711,0.02725186144322051,8010,1.2484394506866416,0
0500000US27171,133442,39049,0.2513797652691157,0.004708738917931311,78190,0.12102538438370981,0.006868208147304369,16203,0.6171696599395174,0
