GEO_ID,NAME,K200201_001E,K200201_001M,K200201_002E,K200201_002M,K200201_003E,K200201_003M,K200201_004E,K200201_004M,K200201_005E,K200201_005M,K200201_006E,K200201_006M,K200201_007E,K200201_007M,K200201_008E,K200201_008M
id,Geographic Area Name,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!White alone,Margin of Error!!Total!!White alone,Estimate!!Total!!Black or African American alone,Margin of Error!!Total!!Black or African American alone,Estimate!!Total!!American Indian and Alaska Native alone,Margin of Error!!Total!!American Indian and Alaska Native alone,Estimate!!Total!!Asian alone,Margin of Error!!Total!!Asian alone,Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone,Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Some other race alone,Margin of Error!!Total!!Some other race alone,Estimate!!Total!!Two or more races,Margin of Error!!Total!!Two or more races
0500000US47031,"Coffee County, Tennessee",55034,*****,50029,1146,1882,777,24,44,228,224,0,208,1140,1144,1731,789
0500000US47035,"Cumberland County, Tennessee",59078,*****,57261,251,340,401,580,428,294,241,0,208,237,251,366,324
0500000US47037,"Davidson County, Tennessee",691243,*****,447669,2927,185187,3147,1507,648,24546,1992,598,577,10086,2675,21650,3881
0500000US47065,"Hamilton County, Tennessee",361613,*****,273702,1953,68670,2336,647,297,8498,152,0,208,4832,2640,5264,1659
0500000US47093,"Knox County, Tennessee",461860,*****,393661,2190,41214,1708,951,500,11527,640,0,208,6654,2323,7853,1817
0500000US47097,"Lauderdale County, Tennessee",25274,*****,16678,1286,7256,1210,306,147,273,440,0,208,41,52,720,497
0500000US47107,"McMinn County, Tennessee",52877,*****,47592,631,2298,542,275,304,82,109,0,208,1589,671,1041,593
0500000US47119,"Maury County, Tennessee",92163,*****,77627,1127,10249,1257,0,208,1048,208,148,192,1081,1205,2010,1162
0500000US47123,"Monroe County, Tennessee",46240,*****,43154,644,1304,737,114,232,232,322,0,208,560,351,876,745
0500000US47125,"Montgomery County, Tennessee",200182,*****,141330,1991,39184,2792,792,272,3663,708,871,173,3115,1271,11227,2454
0500000US47131,"Obion County, Tennessee",30385,*****,25735,354,3032,519,0,208,349,287,0,208,569,292,700,514
0500000US47141,"Putnam County, Tennessee",77674,*****,72346,889,1939,381,322,285,1177,111,0,208,919,847,971,618
0500000US47147,"Robertson County, Tennessee",70177,*****,60959,920,4538,792,608,463,337,205,258,372,1653,1193,1824,771
0500000US47149,"Rutherford County, Tennessee",317157,*****,247022,1347,47146,2489,818,562,10840,989,0,208,1804,1005,9527,2737
0500000US47155,"Sevier County, Tennessee",97638,*****,92929,869,781,427,472,521,559,515,49,98,604,797,2244,674
0500000US47157,"Shelby County, Tennessee",936961,*****,366230,4580,501621,3873,1514,780,23830,1606,1917,2513,26413,4448,15436,3574
0500000US47163,"Sullivan County, Tennessee",157158,*****,147979,1037,2926,703,241,297,839,300,93,151,1321,976,3759,898
0500000US47165,"Sumner County, Tennessee",183545,*****,161227,1157,13745,1057,880,313,2497,494,89,156,1838,938,3269,1363
0500000US47167,"Tipton County, Tennessee",61366,*****,47628,1077,10782,1433,50,90,807,325,0,208,395,439,1704,928
0500000US47179,"Washington County, Tennessee",127806,*****,116058,1078,5985,1061,206,293,2386,278,0,208,792,863,2379,828
0500000US47183,"Weakley County, Tennessee",33337,*****,28957,486,2583,563,143,128,289,296,57,85,838,492,470,370
0500000US47187,"Williamson County, Tennessee",226257,*****,201922,569,9027,1034,277,380,9301,1427,0,208,844,759,4886,1758
0500000US47189,"Wilson County, Tennessee",136442,*****,119705,1611,9937,662,178,167,2776,177,107,196,2040,1602,1699,647
0500000US48001,"Anderson County, Texas",57741,*****,42937,1320,11579,1035,170,266,16,31,33,59,1432,1323,1574,1049
0500000US48005,"Angelina County, Texas",87805,*****,70197,1304,13998,319,225,276,1050,225,0,225,1852,1152,483,440
0500000US48015,"Austin County, Texas",29786,*****,22837,1969,2589,864,0,225,301,455,0,225,3203,1897,856,614
0500000US48019,"Bandera County, Texas",22351,*****,21041,643,584,505,0,225,171,160,0,225,96,159,459,232
0500000US48021,"Bastrop County, Texas",84761,*****,60565,4566,7170,964,295,231,648,227,0,225,14870,4638,1213,460
0500000US48025,"Bee County, Texas",29470,2683,24766,2571,3253,693,205,392,0,225,0,225,504,424,742,581
0500000US48027,"Bell County, Texas",347833,*****,221697,5244,81137,3281,2453,1578,11321,1258,2678,526,10864,3631,17683,3003
0500000US48029,"Bexar County, Texas",1958578,*****,1544827,11888,152183,5828,8639,1877,51987,3638,2543,685,130730,10886,67669,7433
0500000US48037,"Bowie County, Texas",94012,*****,65602,696,23468,883,1095,211,711,437,0,225,740,432,2396,1172
0500000US48039,"Brazoria County, Texas",362457,*****,257337,5562,51676,3055,3208,1743,23253,2049,46,85,16343,4002,10594,3774
0500000US48041,"Brazos County, Texas",222830,*****,172921,2436,23788,1004,598,529,13105,977,33,60,5820,2072,6565,1438
0500000US48049,"Brown County, Texas",38053,*****,34815,663,1980,451,0,225,87,121,0,225,561,467,610,359
0500000US48053,"Burnet County, Texas",46804,*****,43690,1015,85,189,105,195,580,561,0,225,983,897,1361,705
0500000US48055,"Caldwell County, Texas",42338,*****,35068,1685,3327,608,120,179,470,95,0,225,3050,1560,303,251
0500000US48057,"Calhoun County, Texas",21744,*****,19046,825,254,268,0,225,1165,176,0,225,429,375,850,637
0500000US48061,"Cameron County, Texas",423725,*****,397815,4645,1564,483,1128,375,3190,166,0,225,16706,3237,3322,2918
0500000US48073,"Cherokee County, Texas",52240,*****,43230,535,7159,847,844,556,0,225,0,225,549,535,458,556
0500000US48085,"Collin County, Texas",969603,*****,670746,6077,94354,2008,4280,1009,142921,2600,598,202,23959,4960,32745,4784
0500000US48089,"Colorado County, Texas",21232,*****,14963,1500,2711,833,0,225,22,47,0,225,2266,1373,1270,1219
0500000US48091,"Comal County, Texas",141009,*****,130852,1418,2610,485,459,349,1791,255,0,225,2138,1022,3159,907
0500000US48097,"Cooke County, Texas",39895,*****,36667,707,883,383,281,184,412,266,0,225,94,124,1558,832
0500000US48099,"Coryell County, Texas",74913,*****,54389,929,10851,1208,1258,821,1750,300,627,225,985,613,5053,1109
0500000US48113,"Dallas County, Texas",2618148,*****,1618292,14779,591052,6412,9294,2147,167282,2734,1107,695,163582,13879,67539,6368
0500000US48121,"Denton County, Texas",836210,*****,626105,5693,81973,3109,4401,1362,73861,2220,566,355,20383,5101,28921,4280
0500000US48135,"Ector County, Texas",157087,*****,117040,4662,6779,990,764,714,1942,492,277,434,24966,4552,5319,1845
0500000US48139,"Ellis County, Texas",173620,*****,142527,2709,15404,1819,897,462,1333,387,216,266,4623,1493,8620,3125
0500000US48141,"El Paso County, Texas",840410,*****,628407,14249,27504,1903,4740,928,10834,1271,812,696,146806,13687,21307,3859
0500000US48143,"Erath County, Texas",41969,*****,36959,2381,464,250,1766,2475,580,579,33,55,1524,1483,643,595
0500000US48147,"Fannin County, Texas",34446,*****,29899,590,2119,361,741,140,352,104,0,225,700,529,635,411
0500000US48157,"Fort Bend County, Texas",764828,*****,400091,8688,156794,2036,964,869,158051,1891,0,225,32140,8732,16788,4054
0500000US48167,"Galveston County, Texas",335036,*****,264334,3147,42382,2452,1461,808,12444,559,261,353,4424,2114,9730,2379
0500000US48177,"Gonzales County, Texas",21668,1397,12201,1498,1412,632,0,225,105,158,0,225,7710,1714,240,211
0500000US48179,"Gray County, Texas",21628,1869,19095,1881,637,303,648,409,147,188,0,225,699,531,402,259
0500000US48181,"Grayson County, Texas",131140,*****,115225,693,7174,994,1626,531,2122,265,33,61,971,527,3989,1252
0500000US48183,"Gregg County, Texas",123367,*****,92085,1157,24601,1164,182,219,1408,682,375,620,1717,1139,2999,1265
0500000US48187,"Guadalupe County, Texas",159659,*****,112143,4282,14081,1196,293,310,2585,618,224,358,24722,4186,5611,1442
0500000US48189,"Hale County, Texas",34134,*****,30165,940,1587,386,68,98,108,157,0,225,915,687,1291,926
0500000US48199,"Hardin County, Texas",57139,*****,51969,779,3320,937,225,162,563,827,0,225,200,336,862,581
0500000US48201,"Harris County, Texas",4652980,*****,2969448,24817,880266,8498,18632,3159,329588,4438,2930,866,340142,24537,111974,12225
0500000US48203,"Harrison County, Texas",66661,*****,48035,1956,13979,437,232,250,564,225,0,225,1978,1948,1873,1684
0500000US48209,"Hays County, Texas",214485,*****,187859,2742,9325,1266,1137,987,3218,781,123,214,6495,2105,6328,2312
0500000US48213,"Henderson County, Texas",81064,*****,71898,1180,5190,1286,662,286,995,1289,0,225,1620,1101,699,477
0500000US48215,"Hidalgo County, Texas",860661,*****,746379,12201,4816,640,1726,1138,9017,419,427,449,81211,10415,17085,5951
0500000US48217,"Hill County, Texas",35852,*****,30133,857,2311,675,482,592,0,225,236,353,1780,813,910,543
0500000US48219,"Hockley County, Texas",23088,*****,21364,361,657,291,139,189,37,73,115,188,216,187,560,357
0500000US48223,"Hopkins County, Texas",36496,*****,30548,1180,1986,517,21,40,931,570,105,164,2216,1196,689,432
0500000US48227,"Howard County, Texas",36040,*****,28271,1620,2103,772,416,483,61,111,31,56,3805,1750,1353,812
0500000US48231,"Hunt County, Texas",93872,*****,75429,1996,6257,1196,1145,319,1189,358,113,137,6732,2011,3007,1225
0500000US48233,"Hutchinson County, Texas",20272,1589,16380,2212,337,228,268,287,102,64,466,551,1273,1321,1446,853
0500000US48245,"Jefferson County, Texas",256299,*****,148171,3344,86581,1203,624,522,9954,504,225,276,5154,1891,5590,3480
0500000US48251,"Johnson County, Texas",167301,*****,154239,1267,6910,555,312,269,1446,493,152,246,1292,678,2950,1074
0500000US48253,"Jones County, Texas",21609,1547,14360,1397,3388,910,132,112,41,74,0,225,2074,923,1614,572
0500000US48257,"Kaufman County, Texas",122883,*****,100421,1968,13642,782,601,584,1340,581,249,366,3432,1610,3198,1439
0500000US48259,"Kendall County, Texas",44026,*****,38349,1712,320,243,229,248,50,112,55,86,2725,1446,2298,847
0500000US48265,"Kerr County, Texas",51720,*****,44741,1846,529,259,365,366,395,436,0,225,3752,1781,1938,1281
0500000US48273,"Kleberg County, Texas",32618,1711,29361,1892,741,599,0,225,1314,676,0,225,695,647,507,446
0500000US48277,"Lamar County, Texas",49587,*****,40143,603,7150,336,672,511,0,225,83,104,205,392,1334,722
0500000US48285,"Lavaca County, Texas",20062,*****,15910,1251,1101,718,21,36,0,225,0,225,2166,1159,864,563
0500000US48291,"Liberty County, Texas",83658,*****,64996,3036,8749,514,356,433,334,257,22,40,8692,3026,509,397
0500000US48303,"Lubbock County, Texas",305225,*****,254691,4415,22805,1230,3202,1463,7070,828,259,300,10804,3476,6394,1445
0500000US48309,"McLennan County, Texas",251259,*****,195426,2505,36205,1302,1849,1533,4383,421,44,79,9531,2345,3821,969
0500000US48325,"Medina County, Texas",50066,*****,45471,1631,1576,537,684,1124,488,486,0,225,1184,974,663,784
0500000US48329,"Midland County, Texas",165049,*****,139975,3064,11334,946,652,633,3560,535,0,225,8106,2740,1422,633
0500000US48331,"Milam County, Texas",25053,*****,21754,613,2125,790,88,184,243,237,0,225,57,78,786,590
0500000US48339,"Montgomery County, Texas",570934,*****,494271,5173,29571,1207,1670,1012,18574,860,73,126,15963,4820,10812,2240
0500000US48341,"Moore County, Texas",19301,2316,16484,2373,496,462,420,668,261,315,0,225,1229,1140,411,325
0500000US48347,"Nacogdoches County, Texas",65580,*****,48180,2114,11812,1861,1424,1407,803,340,0,225,1246,1013,2115,1172
0500000US48349,"Navarro County, Texas",48701,*****,37168,1875,5969,1107,347,243,32,67,454,729,3163,1831,1568,976
0500000US48355,"Nueces County, Texas",361221,*****,328098,2113,12992,864,1959,593,7659,485,137,229,4944,1605,5432,1383
0500000US48361,"Orange County, Texas",85047,*****,74132,831,7734,925,0,225,977,245,0,225,979,837,1225,960
0500000US48367,"Parker County, Texas",133463,*****,125928,979,1391,878,756,483,394,267,290,468,1160,611,3544,1041
0500000US48373,"Polk County, Texas",49162,*****,39716,1183,5123,850,976,209,696,775,125,136,2058,1255,468,373
0500000US48375,"Potter County, Texas",120458,*****,94792,1702,11990,667,619,261,6351,883,144,229,2936,1509,3626,1525
0500000US48381,"Randall County, Texas",134442,*****,117074,2382,4015,639,236,227,1539,973,87,154,4716,1925,6775,2301
0500000US48397,"Rockwall County, Texas",96788,*****,80338,2464,6455,363,425,226,2158,741,0,225,4795,2417,2617,1339
0500000US48401,"Rusk County, Texas",52833,*****,41762,738,7436,1130,30,44,1280,1202,0,225,591,596,1734,833
0500000US48409,"San Patricio County, Texas",67215,*****,61367,1169,2326,506,17,34,319,365,84,141,1233,653,1869,1136
